P3, tp=0, ts=0
P2, tp=0, ts=0, x0=271925315
P1, tp=0, ts=0, x0=328515787
P1, tp=0, ts=0, x0=355617325
P2, tp=0, ts=0, x0=24488068
P2, tp=0, ts=0, x0=132139073
P1, tp=0, ts=0, x0=263078228
P1, tp=0, ts=0, x0=724120811
P1, tp=0, ts=0, x0=782304503
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=148737049
P0, tp=0, ts=0, x0=606967315
P2, tp=0, ts=0, x0=642553759
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=870269555
P1, tp=0, ts=0, x0=819702502
P0, tp=0, ts=0, x0=463275880
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=551152087
P0, tp=0, ts=0, x0=386218870
P2, tp=0, ts=0, x0=37375084
P0, tp=0, ts=0, x0=905226255
P1, tp=0, ts=0, x0=226070484
P1, tp=0, ts=0, x0=196980072
P0, tp=0, ts=0, x0=535982850
P2, tp=0, ts=0, x0=16373219
P2, tp=0, ts=0, x0=926246428
P0, tp=0, ts=0, x0=762707131
P2, tp=0, ts=0, x0=18709334
P2, tp=0, ts=0, x0=228331474
P1, tp=0, ts=0, x0=843943083
P0, tp=0, ts=0, x0=298920788
P2, tp=0, ts=0, x0=722268122
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=602083814
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=248774096
P1, tp=0, ts=0, x0=73269769
P1, tp=0, ts=0, x0=686995935
P2, tp=0, ts=0, x0=666082975
P2, tp=0, ts=0, x0=5126561
P2, tp=0, ts=0, x0=351151922
P1, tp=0, ts=0, x0=741139708
P1, tp=0, ts=0, x0=663396134
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=380855812
P1, tp=0, ts=0, x0=10932329
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=543446181
P2, tp=0, ts=0, x0=536210395
P0, tp=0, ts=0, x0=745871574
P1, tp=0, ts=0, x0=941288943
P1, tp=0, ts=0, x0=461807606
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=241279976
P1, tp=0, ts=0, x0=367736408
P3, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=606113143
P0, tp=0, ts=0, x0=729133951
P0, tp=0, ts=0, x0=72765936
P1, tp=0, ts=0, x0=377301598
P2, tp=0, ts=0, x0=241279976
P0, tp=0, ts=0, x0=263078228
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=228331474
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=686995935
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=204285906
P2, tp=0, ts=0, x0=686995935
P0, tp=0, ts=0, x0=16373219
P1, tp=0, ts=0, x0=941288943
P0, tp=0, ts=0, x0=543446181
P2, tp=0, ts=0, x0=535982850
P2, tp=0, ts=0, x0=974256347
P2, tp=0, ts=0, x0=606113143
