P2, tp=0, ts=0, x0=373321178
P0, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=587230719
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=24488068
P2, tp=0, ts=0, x0=132139073
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=703748452
P3, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=642553759
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0
P1, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=37375084
P0, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=811960572
P0, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=16373219
P2, tp=0, ts=0, x0=926246428
P0, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=18709334
P2, tp=0, ts=0, x0=228331474
P1, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=118069191
P1, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=602083814
P3, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=666082975
P2, tp=0, ts=0, x0=5126561
P2, tp=0, ts=0, x0=351151922
P1, tp=0, ts=0
P1, tp=0, ts=0
P1, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=380855812
P1, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=543446181
P2, tp=0, ts=0, x0=536210395
P0, tp=0, ts=0
P1, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=901589232
P3, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=844775061
P1, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=264315048
P3, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=217648410
P0, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=87082375
P3, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=215333375
P1, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0
P1, tp=0, ts=0
P0, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=178506967
P2, tp=0, ts=0, x0=207588457
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=238253208
P0, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=402547811
P3, tp=0, ts=0
P1, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=72303600
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=511960269
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=476381130
P2, tp=0, ts=0, x0=907122798
P3, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=561886432
P2, tp=0, ts=0, x0=560541047
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=815357125
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=23766626
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=576391191
P1, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=247728187
P0, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=108120159
P1, tp=0, ts=0
P1, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=662892742
P0, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=357706050
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=419623911
P1, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=13604375
P1, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=277420835
P2, tp=0, ts=0, x0=958092836
P0, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=966977746
P1, tp=0, ts=0
P1, tp=0, ts=0
P2, tp=0, ts=0, x0=57345283
P1, tp=0, ts=0
P1, tp=0, ts=0
P3, tp=0, ts=0
