P0, tp=0, ts=0, x0=810563610, x1=328515787
P1, tp=0, ts=0, x0=355617325, x1=141336768
P1, tp=0, ts=0, x0=559514287, x1=132139073
P1, tp=0, ts=0, x0=263078228, x1=703748452
P3, tp=0, ts=0, x0=70079853, x1=782304503
P3, tp=0, ts=0, x0=192577637, x1=148737049
P0, tp=0, ts=0, x0=606967315, x1=230151851
P1, tp=0, ts=0, x0=790519442, x1=759454589
P0, tp=0, ts=0, x0=870269555, x1=943366250
P1, tp=0, ts=0, x0=485979946, x1=463275880
P3, tp=0, ts=0, x0=55280525, x1=551152087
P0, tp=0, ts=0, x0=386218870, x1=398563200
P0, tp=0, ts=0, x0=107019939, x1=905226255
P1, tp=0, ts=0, x0=226070484, x1=811960572
P0, tp=0, ts=0, x0=454158356, x1=535982850
P2, tp=0, ts=0, x0=16373219, x1=583930965
P1, tp=0, ts=0, x0=240156530, x1=762707131
P2, tp=0, ts=0, x0=18709334, x1=194765226
P3, tp=0, ts=0, x0=228331474, x1=973945504
P3, tp=0, ts=0, x0=382513159, x1=298920788
P2, tp=0, ts=0, x0=722268122, x1=105778896
P2, tp=0, ts=0, x0=136297361, x1=248774096
P1, tp=0, ts=0, x0=73269769, x1=665429171
P3, tp=0, ts=0, x0=332126636, x1=666082975
P2, tp=0, ts=0, x0=5126561, x1=665429171
P0, tp=0, ts=0, x0=973945504, x1=373321178
P1, tp=0, ts=0, x0=228331474, x1=541053556
P0, tp=0, ts=0, x0=248774096, x1=105778896
P3, tp=0, ts=0, x0=373321178, x1=16373219
P2, tp=0, ts=0, x0=665429171, x1=665429171
P0, tp=0, ts=0, x0=722268122, x1=941288943
P1, tp=0, ts=0, x0=559514287, x1=508738113
P0, tp=0, ts=0, x0=328515787, x1=332126636
P3, tp=0, ts=0, x0=373321178, x1=141336768
P3, tp=0, ts=0, x0=551152087, x1=332126636
P3, tp=0, ts=0, x0=70079853, x1=18709334
P1, tp=0, ts=0, x0=377301598, x1=148737049
P0, tp=0, ts=0, x0=194765226, x1=398563200
P3, tp=0, ts=0, x0=55280525, x1=569872521
P3, tp=0, ts=0, x0=703748452, x1=811960572
P2, tp=0, ts=0, x0=905226255, x1=722268122
P1, tp=0, ts=0, x0=215333375, x1=18709334
P0, tp=0, ts=0, x0=782304503, x1=905226255
P1, tp=0, ts=0, x0=870269555, x1=386218870
P2, tp=0, ts=0, x0=215333375, x1=583930965
P2, tp=0, ts=0, x0=328515787, x1=16373219
P0, tp=0, ts=0, x0=107019939, x1=941288943
P2, tp=0, ts=0, x0=973945504, x1=230151851
P1, tp=0, ts=0, x0=782304503, x1=141336768
P2, tp=0, ts=0, x0=55280525, x1=230151851
P2, tp=0, ts=0, x0=105778896, x1=799283354
P3, tp=0, ts=0, x0=665429171, x1=230151851
P2, tp=0, ts=0, x0=18709334, x1=332126636
P3, tp=0, ts=0, x0=665429171, x1=16373219
P2, tp=0, ts=0, x0=665429171, x1=541053556
P0, tp=0, ts=0, x0=782304503, x1=194765226
P1, tp=0, ts=0, x0=148737049, x1=810563610
P0, tp=0, ts=0, x0=105778896, x1=583930965
P1, tp=0, ts=0, x0=666082975, x1=759454589
P0, tp=0, ts=0, x0=454158356, x1=454158356
P0, tp=0, ts=0, x0=108120159, x1=226070484
P1, tp=0, ts=0, x0=192577637, x1=373321178
P2, tp=0, ts=0, x0=666082975, x1=132139073
P1, tp=0, ts=0, x0=16373219, x1=382513159
P1, tp=0, ts=0, x0=298920788, x1=722268122
P1, tp=0, ts=0, x0=485979946, x1=5126561
P3, tp=0, ts=0, x0=799283354, x1=298920788
