P3, tp=0, ts=0, x0=373321178
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=328515787
P1, tp=0, ts=0, x0=355617325
P2, tp=0, ts=0, x0=24488068
P2, tp=0, ts=0, x0=132139073
P1, tp=0, ts=0, x0=263078228
P1, tp=0, ts=0, x0=724120811
P1, tp=0, ts=0, x0=782304503
P3, tp=0, ts=0, x0=192577637
P0, tp=0, ts=0
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=606967315
P2, tp=0, ts=0, x0=642553759
P3, tp=0, ts=0, x0=759454589
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=943366250
P1, tp=0, ts=0, x0=485979946
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=55280525
P1, tp=0, ts=0, x0=393602475
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=37375084
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=544727831
P2, tp=0, ts=0, x0=811960572
P0, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=16373219
P2, tp=0, ts=0, x0=926246428
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=220272179
P3, tp=0, ts=0, x0=18709334
P2, tp=0, ts=0, x0=228331474
P1, tp=0, ts=0, x0=843943083
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=118069191
P1, tp=0, ts=0, x0=105778896
P2, tp=0, ts=0, x0=136297361
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=73269769
P1, tp=0, ts=0, x0=686995935
P2, tp=0, ts=0, x0=666082975
P2, tp=0, ts=0, x0=5126561
P2, tp=0, ts=0, x0=351151922
P1, tp=0, ts=0, x0=741139708
P1, tp=0, ts=0, x0=663396134
P3, tp=0, ts=0, x0=541053556
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=10932329
P3, tp=0, ts=0, x0=465808655
P3, tp=0, ts=0, x0=543446181
P2, tp=0, ts=0, x0=536210395
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=813891785
P3, tp=0, ts=0, x0=950610789
P2, tp=0, ts=0, x0=901589232
P3, tp=0, ts=0, x0=508738113
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=367736408
P3, tp=0, ts=0, x0=844775061
P1, tp=0, ts=0, x0=606113143
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=421439650
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=860587157
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=217648410
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=543446181
P1, tp=0, ts=0, x0=706859224
P3, tp=0, ts=0, x0=220272179
P2, tp=0, ts=0, x0=686995935
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=263078228
P2, tp=0, ts=0, x0=263078228
P0, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=136297361
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=663396134
P2, tp=0, ts=0, x0=55280525
P2, tp=0, ts=0, x0=943366250
P2, tp=0, ts=0, x0=256810040
P1, tp=0, ts=0, x0=686995935
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=569872521
P1, tp=0, ts=0, x0=782304503
P2, tp=0, ts=0, x0=37375084
P1, tp=0, ts=0, x0=741139708
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=328515787
P3, tp=0, ts=0, x0=901589232
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=536210395
P3, tp=0, ts=0, x0=73269769
P1, tp=0, ts=0, x0=666082975
P2, tp=0, ts=0, x0=950610789
P2, tp=0, ts=0, x0=355617325
P2, tp=0, ts=0, x0=37375084
P1, tp=0, ts=0, x0=23766626
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=706859224
P1, tp=0, ts=0, x0=741139708
P2, tp=0, ts=0, x0=724120811
P0, tp=0, ts=0
P0, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=811960572
P1, tp=0, ts=0, x0=759454589
P0, tp=0, ts=0
P0, tp=0, ts=0
P2, tp=0, ts=0, x0=328515787
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=256810040
P2, tp=0, ts=0, x0=950610789
P2, tp=0, ts=0, x0=666082975
P1, tp=0, ts=0, x0=18709334
P3, tp=0, ts=0, x0=880892020
P2, tp=0, ts=0, x0=606967315
P1, tp=0, ts=0, x0=422369802
P3, tp=0, ts=0, x0=256810040
P2, tp=0, ts=0, x0=228331474
P3, tp=0, ts=0, x0=606113143
P3, tp=0, ts=0, x0=10932329
P3, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0
P0, tp=0, ts=0
P1, tp=0, ts=0, x0=541053556
P0, tp=0, ts=0
P3, tp=0, ts=0, x0=23766626
P2, tp=0, ts=0, x0=393602475
P1, tp=0, ts=0, x0=37375084
P2, tp=0, ts=0, x0=642553759
