P1, tp=0, ts=0, x0=569872521
P3, tp=0, ts=0, x0=373321178
P0, tp=0, ts=0, x0=810563610, x1=328515787
P1, tp=0, ts=0, x0=355617325
P2, tp=0, ts=0, x0=24488068
P2, tp=0, ts=0, x0=132139073
P1, tp=0, ts=0, x0=263078228
P1, tp=0, ts=0, x0=724120811
P1, tp=0, ts=0, x0=782304503
P3, tp=0, ts=0, x0=192577637
P0, tp=0, ts=0, x0=78200211, x1=606967315
P2, tp=0, ts=0, x0=642553759
P3, tp=0, ts=0, x0=759454589
P0, tp=0, ts=0, x0=870269555, x1=943366250
P1, tp=0, ts=0, x0=485979946
P0, tp=0, ts=0, x0=55280525, x1=551152087
P0, tp=0, ts=0, x0=386218870, x1=398563200
P0, tp=0, ts=0, x0=107019939, x1=905226255
P1, tp=0, ts=0, x0=226070484
P1, tp=0, ts=0, x0=196980072
P0, tp=0, ts=0, x0=535982850, x1=542030928
P0, tp=0, ts=0, x0=583930965, x1=926246428
P0, tp=0, ts=0, x0=762707131, x1=220272179
P3, tp=0, ts=0, x0=18709334
P2, tp=0, ts=0, x0=228331474
P1, tp=0, ts=0, x0=843943083
P0, tp=0, ts=0, x0=298920788, x1=118069191
P1, tp=0, ts=0, x0=105778896
P2, tp=0, ts=0, x0=136297361
P0, tp=0, ts=0, x0=870342687, x1=73269769
P1, tp=0, ts=0, x0=686995935
P2, tp=0, ts=0, x0=666082975
P2, tp=0, ts=0, x0=5126561
P2, tp=0, ts=0, x0=351151922
P1, tp=0, ts=0, x0=741139708
P1, tp=0, ts=0, x0=663396134
P3, tp=0, ts=0, x0=541053556
P0, tp=0, ts=0, x0=912462831, x1=10932329
P3, tp=0, ts=0, x0=465808655
P3, tp=0, ts=0, x0=192577637
P2, tp=0, ts=0, x0=456228543
P1, tp=0, ts=0, x0=941288943
P1, tp=0, ts=0, x0=132139073
P3, tp=0, ts=0, x0=666082975
P0, tp=0, ts=0, x0=263078228, x1=220272179
P2, tp=0, ts=0, x0=386218870
P3, tp=0, ts=0, x0=351151922
P3, tp=0, ts=0, x0=870342687
P0, tp=0, ts=0, x0=132139073, x1=72765936
P1, tp=0, ts=0, x0=377301598
P2, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0, x0=196980072, x1=686995935
P1, tp=0, ts=0, x0=569872521
P3, tp=0, ts=0, x0=782304503
P2, tp=0, ts=0, x0=228331474
P3, tp=0, ts=0, x0=666082975
P1, tp=0, ts=0, x0=215333375
P1, tp=0, ts=0, x0=18709334
P0, tp=0, ts=0, x0=542030928, x1=118766102
P3, tp=0, ts=0, x0=118766102
P2, tp=0, ts=0, x0=485979946
P2, tp=0, ts=0, x0=926246428
P2, tp=0, ts=0, x0=256810040
P1, tp=0, ts=0, x0=105778896
P0, tp=0, ts=0, x0=118766102, x1=107019939
P1, tp=0, ts=0, x0=215333375
P2, tp=0, ts=0, x0=220272179
P1, tp=0, ts=0, x0=843943083
P0, tp=0, ts=0, x0=10932329, x1=72765936
P3, tp=0, ts=0, x0=870342687
P0, tp=0, ts=0, x0=663396134, x1=542030928
P3, tp=0, ts=0, x0=641299034
P2, tp=0, ts=0, x0=131587651
P2, tp=0, ts=0, x0=782304503
P2, tp=0, ts=0, x0=107019939
P1, tp=0, ts=0, x0=642553759
P0, tp=0, ts=0, x0=606967315, x1=941288943
P1, tp=0, ts=0, x0=943366250
P1, tp=0, ts=0, x0=192577637
P0, tp=0, ts=0, x0=192577637, x1=5126561
P0, tp=0, ts=0, x0=641299034, x1=256810040
P1, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0, x0=131587651, x1=606967315
